State,Pedestrians Killed,Pedacyclists Killed,Population (Thousands),"Pedestrian Fatality Rate per 100,000 Population","Pedacyclist Fatality Rate per 100,000 Population",Total (Pedestrians + Pedacyclist),Rank,,Sources:
Alabama,59,6,4834,1.22,0.12,1.34,26,,http://www-fars.nhtsa.dot.gov/States/StatesPedestrians.aspx
Alaska,6,1,735,0.82,0.14,0.96,42,,http://www-fars.nhtsa.dot.gov/People/PeoplePedalcyclists.aspx
Arizona,151,31,6627,2,0.47,2.75,3,,
Arkansas,45,4,2959,1.52,0.14,1.66,19,,
California,701,141,38333,1.83,0.37,2.20,9,,
Colorado,50,12,5268,0.95,0.23,1.18,33,,
Connecticut,36,3,3596,1,0.08,1.08,37,,
Delaware,25,1,926,2.7,0.11,2.81,2,,
District of Columbia,9,1,646,1.39,0.15,1.54,22,,
Florida,501,133,19553,3,0.68,3.24,1,,
Georgia,176,28,9992,1.76,0.28,2.04,10,,
Hawaii,23,2,1404,1.64,0.14,1.78,17,,
Idaho,14,3,1612,0.87,0.19,1.06,40,,
Illinois,125,30,12882,1,0.23,1.20,32,,
Indiana,77,14,6571,1.17,0.21,1.38,24,,
Iowa,20,3,3090,0.65,0.10,0.75,47,,
Kansas,25,6,2894,1,0.21,1.07,38,,
Kentucky,55,3,4395,1,0.07,1.32,27,,
Louisiana,97,14,4625,2.1,0.30,2.40,7,,
Maine,11,4,1328,0.83,0.30,1.13,35,,
Maryland,108,6,5929,1.82,0.10,1.92,14,,
Massachusetts,68,6,6693,1.02,0.09,1.11,36,,
Michigan,148,27,9896,1.5,0.27,1.77,18,,
Minnesota,32,6,5420,0.59,0.11,0.70,48,,
Mississippi,53,6,2991,2,0.20,1.97,13,,
Missouri,73,4,6044,1.21,0.07,1.28,29,,
Montana,24,1,1015,2.36,0.10,2.46,6,,
Nebraska,12,0,1869,0.64,0.00,0.64,50,,
Nevada,65,7,2790,2.33,0.25,2.58,4,,
New Hampshire,12,4,1323,1,0.30,1.21,31,,
New Jersey,129,14,8899,1.45,0.16,1.61,21,,
New Mexico,49,4,2085,2.35,0.19,2.54,5,,
New York,335,40,19651,2,0.20,1.90,15,,
North Carolina,173,22,9848,1.76,0.22,1.98,12,,
North Dakota,1,1,723,0.14,0.14,0.28,51,,
Ohio,85,19,11571,1,0.16,0.89,43,,
Oklahoma,58,13,3851,1.51,0.34,1.85,16,,
Oregon,48,3,3930,1,0.08,1.30,28,,
Pennsylvania,147,11,12774,1.15,0.09,1.24,30,,
Rhode Island,14,3,1052,1.33,0.29,1.62,20,,
South Carolina,100,15,4775,2.09,0.31,2.40,7,,
South Dakota,9,0,845,1.07,0.00,1.07,38,,
Tennessee,80,8,6496,1.23,0.12,1.35,25,,
Texas,480,48,26448,2,0.18,1.99,11,,
Utah,28,6,2901,1,0.21,1.18,33,,
Vermont,5,0,627,0.8,0.00,0.80,46,,
Virginia,75,8,8260,0.91,0.10,1.01,41,,
Washington,49,11,6971,1,0.16,0.86,44,,
West Virginia,28,0,1854,1.51,0.00,1.51,23,,
Wisconsin,37,10,5743,0.64,0.17,0.81,45,,
Wyoming,4,0,583,0.69,0.00,0.69,49,,